Supply_station,Sale_location,Postal_code,Municipality,Region,Type,Supertype,Sale_type,Quantity,Quantity_tons,Year,Use_category,Domestic_international,Comment,Ship_category,Use_category_eng,Population_region,Population_munic
Reykjavík,Ólafsvík,355,Snæfellsbær,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,0,0,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,1702
Söludælur,Arnarstapi,355,Snæfellsbær,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,25095,21.707175,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,1702
Söludælur,Arnarstapi,355,Snæfellsbær,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,8994,7.7798099999999994,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,1702
Söludælur,Ólafsvík,355,Snæfellsbær,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,582171,503.57791499999996,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,1702
Söludælur,Ólafsvík,355,Snæfellsbær,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,2075,1.794875,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,1702
Ólafsvík,Hellissandur,360,Snæfellsbær,Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,997,0.862405,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,1702
Ólafsvík,Hellissandur,360,Snæfellsbær,Vesturland,Skipagasolía,Gasolía,Sala utan svæðis - flj.,53248,46.05952,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,1702
Ólafsvík,Hellissandur,360,Snæfellsbær,Vesturland,Skipagasolía lituð,Gasolía,Sala utan svæðis - flj.,263949,228.315885,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,1702
Reykjavík,Hellissandur,360,Snæfellsbær,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,0,0,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,1702
Reykjavík,Hellissandur,360,Snæfellsbær,Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,22816,19.73584,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,1702
Reykjavík,Hellissandur,360,Snæfellsbær,Vesturland,Skipagasolía,Gasolía,Sala utan svæðis - flj.,1174961,1016.341265,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,1702
